ax,ay,az,label
-2.380858,-9.734003,0.058624,0
-2.395216,-9.676576,0.095713,0
-2.408376,-9.706486,0.058624,0
-2.398805,-9.658628,-0.020339,0
-2.358127,-9.652646,0.120838,0
-2.328217,-9.707682,0.074178,0
-2.394019,-9.665807,0.100499,0
-2.323431,-9.663414,0.06341,0
-2.427519,-9.704092,0.035892,0
-2.36052,-9.755538,0.120838,0
-2.379662,-9.643075,0.078963,0
-2.435893,-9.573684,-0.008375,0
-2.384448,-9.65145,0.047856,0
-2.446661,-9.65504,0.105284,0
-2.359323,-9.710074,0.045464,0
-2.413162,-9.696914,0.069392,0
-2.413162,-9.676576,0.069392,0
-2.391626,-9.71127,0.09332,0
-2.476572,-9.670592,-0.011964,0
-2.465804,-9.623933,-0.008375,0
-2.469393,-9.705289,0.062213,0
-2.364109,-9.7017,0.06341,0
-2.447858,-9.705289,0.072981,0
-2.374876,-9.626326,-0.003589,0
-2.438286,-9.644272,0.039482,0
-2.338984,-9.639486,0.074178,0
-2.392823,-9.65504,0.062213,0
-2.409573,-9.707682,0.084945,0
-2.366502,-9.653843,0.074178,0
-2.34377,-9.725628,-0.027517,0
-2.36052,-9.71845,0.070588,0
-2.40718,-9.682557,0.06341,0
-2.411965,-9.58804,0.051446,0
-2.313859,-9.762717,0.026321,0
-2.409573,-9.702895,0.062213,0
-2.307878,-9.741181,0.078963,0
-2.440679,-9.614362,-0.037089,0
-2.359323,-9.672985,-0.013161,0
-2.423929,-9.619147,0.070588,0
-2.426322,-9.722038,0.061017,0
-2.342573,-9.66461,0.066999,0
-2.408376,-9.722038,0.08016,0
-2.329413,-9.775877,0.071785,0
-2.316252,-9.650254,0.050249,0
-2.422733,-9.737592,0.11007,0
-2.401197,-9.712467,0.070588,0
-2.404787,-9.712467,0.053839,0
-2.380858,-9.649057,0.04666,0
-2.417947,-9.694522,0.11007,0
-2.336591,-9.696914,0.086142,0
-2.383251,-9.716057,0.021535,0
-2.328217,-9.694522,0.022732,0
-2.315056,-9.698111,0.062213,0
-2.388037,-9.754342,0.017946,0
-2.422733,-9.687343,0.008375,0
-2.43709,-9.652646,0.071785,0
-2.422733,-9.717253,0.088534,0
-2.36052,-9.799805,0.084945,0
-2.416751,-9.631111,0.022732,0
-2.391626,-9.677772,0.039482,0
-2.367698,-9.759127,0.028714,0
-2.435893,-9.732806,0.01675,0
-2.36052,-9.804591,0.094517,0
-2.352145,-9.696914,0.130409,0
-2.416751,-9.661021,0.003589,0
-2.428715,-9.732806,0.017946,0
