ax,ay,az,label
-0.515653,-8.889336,-0.62692,3
-7.660622,-2.678765,4.086941,3
-4.012764,-11.99283,3.370291,3
10.04746,-20.71945,0.334995,3
-2.03031,-11.32643,0.770489,3
-11.11347,-7.562516,0.149551,3
-10.95793,-8.837891,0.370888,3
-2.143969,-12.47977,-0.409173,3
6.443871,-11.202,-0.319442,3
0.174676,-9.390633,3.536592,3
-8.952746,-4.418347,3.865605,3
-0.790828,-11.74756,2.294717,3
10.11805,-20.30549,0.401994,3
-1.14018,-12.2704,-1.337588,3
-9.972088,-4.691129,0.776471,3
-10.81675,-7.288538,1.698904,3
-2.117648,-12.65923,-2.974278,3
6.061019,-10.97947,2.510071,3
0.153141,-8.646465,2.71705,3
-9.109475,-4.383651,0.583849,3
0.25005,-9.834501,2.633301,3
8.522038,-20.49094,0.728615,3
2.22054,-12.4678,-1.871187,3
-10.49014,-3.589234,2.715854,3
-10.72822,-7.697711,-0.837488,3
-0.599402,-14.32104,-0.385244,3
4.102495,-11.52503,2.663211,3
-0.814756,-7.338787,0.273978,3
-7.666604,-3.718446,3.127419,3
-5.520242,-10.08336,1.561317,3
10.7677,-18.25365,-0.366102,3
0.821935,-12.11366,1.089931,3
-11.05963,-3.659822,-0.178265,3
-12.36012,-6.727421,0.260818,3
-1.905883,-12.26082,-1.012164,3
7.728817,-15.22075,0.886541,3
0.421137,-8.842677,1.536192,3
-9.61795,-2.84028,2.236093,3
-4.237689,-8.715857,1.173679,3
9.842876,-18.19981,-1.057628,3
-0.79681,-11.40898,-0.81356,3
-13.89632,-2.268396,-0.929612,3
-11.46641,-5.668597,-0.630509,3
-1.868794,-12.11366,-1.536192,3
6.317052,-13.78505,-0.812363,3
-2.084148,-6.037091,-0.180658,3
-9.692128,-0.385244,1.591227,3
-3.651447,-9.74477,0.437887,3
8.572288,-17.90669,-2.315056,3
-3.561717,-8.389236,-1.926222,3
-15.33919,-2.468197,2.987439,3
-8.151151,-10.89093,-1.421337,3
2.111666,-19.31367,-2.10688,3
3.163311,-9.657433,1.377069,3
-3.751946,-5.631508,1.802992,3
-8.203793,-5.863612,0.660419,3
3.536592,-13.91546,1.411765,3
5.278566,-15.08316,1.941776,3
-2.818745,-9.615559,-0.361316,3
-6.710671,-7.131808,1.741975,3
-4.016353,-14.70988,1.975275,3
5.611169,-19.91307,-2.49691,3
4.009174,-11.57049,1.671387,3
-2.372484,-5.394619,2.353341,3
-10.203,-5.440083,0.151944,3
4.900501,-13.15095,-1.290928,3
6.87099,-13.6008,2.100899,3
-5.546563,-7.479964,0.9667,3
