ax,ay,az,label
6.216553,-18.26202,-2.952743,2
-1.95015,-7.337591,0.801596,2
-14.03989,-0.71665,3.058027,2
-6.29432,-5.478368,0.418744,2
6.221339,-17.68894,-0.790828,2
6.468996,-11.31326,-2.516053,2
-10.62294,-2.426322,1.616352,2
-13.85684,-2.389233,-0.90688,2
-1.648655,-11.88874,-2.199004,2
9.249456,-21.27219,0.232104,2
-1.341177,-11.03211,-0.111266,2
-8.846266,-1.933401,1.816152,2
-11.10629,-5.533402,2.469393,2
6.790831,-16.88256,-3.102295,2
6.963114,-12.02991,1.336391,2
-9.503096,-3.791427,1.630709,2
-11.02732,-3.742374,-0.595813,2
-1.834098,-12.74657,0.394816,2
7.404589,-21.94458,-0.98345,2
4.671986,-12.9033,1.939383,2
-15.04248,-1.783849,3.888337,2
-10.25085,-6.398408,-1.231107,2
4.98425,-15.801,0.728615,2
4.293921,-14.1679,-1.080359,2
-4.156333,-4.174279,2.498107,2
-14.73022,-2.295913,2.839084,2
-0.582652,-13.7037,-0.924826,2
12.3362,-23.12185,1.954936,2
0.507278,-14.2373,2.03031,2
-6.143572,-3.854837,0.391227,2
-12.26202,-4.064209,-0.075374,2
3.936193,-16.08934,-3.745964,2
6.987042,-13.86282,1.51346,2
-7.418947,-4.570292,2.082952,2
-12.84946,-0.150748,1.625923,2
1.144966,-14.32703,1.20359,2
9.964911,-23.34557,1.90708,2
3.519842,-13.92862,0.880559,2
-6.59103,-4.151547,1.137787,2
-8.943174,-5.162515,2.490928,2
6.685547,-17.57767,-3.195615,2
8.712268,-13.18206,1.616352,2
-7.54098,-4.979464,2.04706,2
-12.27398,-0.862613,0.003589,2
1.737189,-13.78864,-1.188036,2
7.533802,-22.52723,1.351945,2
3.299703,-13.00379,-0.147159,2
-10.90409,-1.75035,3.524628,2
-10.2688,-5.550152,-1.349552,2
7.880762,-17.07638,-0.175872,2
10.66122,-15.37987,0.98345,2
-5.312067,-6.9344,0.905683,2
-10.01875,-1.697708,0.594616,2
-1.457229,-12.268,0.939183,2
6.545567,-22.34059,-1.113859,2
2.833102,-10.52005,-0.430708,2
-11.46282,-0.653241,2.702693,2
-10.36212,-4.737789,-2.429911,2
5.826523,-16.20778,-1.097109,2
6.861419,-10.91486,-0.01675,2
-9.805787,-3.342773,0.774078,2
-11.44726,-1.117448,-0.447458,2
-2.45025,-12.28714,-0.661615,2
9.795019,-21.57249,-1.735993,2
1.125823,-10.98425,0.833899,2
-14.55913,0.632902,-1.381855,2
-12.30509,-3.144169,-1.769492,2
5.176872,-14.53999,-3.075974,2
4.999803,-13.40818,-0.427119,2
-4.989036,-2.806781,-0.191426,2
-14.85105,0.872184,0.54676,2
-1.59362,-11.2367,-3.2339,2
10.2688,-19.89273,0.503689,2
-0.72024,-13.17488,-1.855634,2
-10.35494,-0.27996,-1.506282,2
-14.23969,-1.18684,-1.992025,2
2.805584,-13.82334,-3.040081,2
9.312866,-14.89293,1.048056,2
-5.962914,-4.741378,0.932004,2
-10.62054,0.520439,-1.499103,2
-3.020939,-13.11147,0.870987,2
5.388636,-19.80539,-2.895315,2
1.999203,-10.88974,-1.740778,2
-13.13899,-0.338584,-0.256032,2
-14.00878,-2.183451,-3.486342,2
2.714657,-13.66661,-0.026321,2
8.90489,-15.51865,0.356531,2
-5.489135,-5.771488,1.344766,2
-11.0357,0.027517,-0.034696,2
-3.95055,-13.18086,0.424726,2
7.179665,-21.15734,-2.549552,2
0.346959,-11.1338,1.913062,2
-11.38146,-2.341377,-0.709472,2
-13.45963,-4.2006,0.295514,2
4.229314,-14.70988,-1.454836,2
7.872387,-15.86681,1.14018,2
-4.38724,-6.129215,0.058624,2
-14.81755,0.935594,1.93699,2
-5.076373,-10.69831,-1.732404,2
8.694322,-20.74218,1.266999,2
-0.87697,-12.56232,-2.199004,2
-10.80599,-0.606581,2.374876,2
-10.92802,-3.656233,0.37328,2
2.465804,-14.35095,0.555135,2
9.997213,-18.01915,0.611366,2
-5.739185,-6.672386,-0.36012,2
-14.7709,0.084945,-1.935793,2
-10.45903,-7.67139,2.583052,2
5.629115,-16.72104,-2.784049,2
2.836691,-13.24906,0.839881,2
-10.36451,-2.333002,-0.520439,2
-12.39961,-3.775874,1.178465,2
-1.475175,-11.26421,0.131605,2
8.901299,-16.98186,-0.021535,2
1.877169,-8.957531,-1.926222,2
-14.68954,0,1.599602,2
-8.973085,-8.930015,0.211765,2
2.366502,-14.34378,0.441476,2
3.846462,-14.2696,-3.040081,2
-7.046863,-5.008178,1.570888,2
-12.70828,-3.821338,0.985843,2
-4.843073,-10.34776,0.599402,2
10.32024,-17.15534,0.358923,2
-1.198804,-10.17189,-0.629312,2
-14.53401,0.150748,2.567499,2
-5.825326,-10.8012,0.752543,2
6.911668,-18.9703,1.74676,2
5.005785,-15.65265,-1.272982,2
-9.388239,-5.375476,0.839881,2
-11.08595,-5.03091,1.20359,2
-1.502692,-12.76571,1.112662,2
10.4004,-17.20798,0.613759,2
1.097109,-8.739785,0.739382,2
-13.77548,0.204586,1.161715,2
-3.007778,-12.76451,-0.551546,2
8.690731,-19.05285,1.668994,2
2.898905,-13.00978,-1.676172,2
-10.99861,-2.702693,-0.336192,2
-11.0034,-3.822534,0.433101,2
1.446461,-13.53979,-0.34337,2
9.46481,-15.15375,0.504886,2
-2.121237,-6.212965,-0.372084,2
-15.35953,2.059024,1.932204,2
-4.485346,-11.29293,-4.205386,2
6.562316,-18.20938,0.083749,2
0.665205,-11.29412,-2.359323,2
