ax,ay,az,label
-6.829116,-7.99801,-2.382055,1
-22.72583,6.690332,0.247657,1
-11.25105,-3.384648,2.104488,1
5.150551,-17.44368,3.024528,1
8.498111,-20.32703,-3.512664,1
-7.427322,-8.222935,0.643669,1
-10.04268,-2.102095,3.407379,1
-3.165704,-10.70908,2.787638,1
9.4349,-21.44687,-1.658226,1
3.090331,-13.84128,-1.613959,1
-18.69752,7.039685,-4.163511,1
-17.38745,3.688536,0.451047,1
1.255036,-15.04487,0.924826,1
8.09133,-22.63251,-0.342174,1
-3.884748,-9.9015,-0.338584,1
-6.447461,0.071785,3.242275,1
-5.7344,-11.42214,1.957329,1
12.73699,-20.79842,0.387637,1
9.343972,-15.64667,-1.752743,1
-16.68874,5.660222,-5.843273,1
-17.75833,5.002196,-2.184647,1
-2.854637,-12.86142,4.019942,1
7.575677,-22.58107,-3.434897,1
-0.823131,-9.789038,1.878366,1
-7.093523,-0.154337,2.677569,1
-6.260821,-11.6686,1.697708,1
9.473186,-19.94657,-1.835295,1
7.171289,-13.15813,0.222532,1
-18.34218,6.204589,-4.673182,1
-18.53002,4.750949,-2.073381,1
-0.597009,-14.41077,3.349952,1
7.80778,-21.05564,-5.130211,1
-3.281756,-8.094919,0.838684,1
-8.26481,-0.586242,1.509871,1
-9.543774,-8.896515,0.908076,1
13.09233,-18.26202,-1.758725,1
8.520842,-13.2036,0.20339,1
-11.1697,1.981257,-5.765506,1
-20.65485,4.290331,1.178465,1
-5.822934,-9.315259,-1.174876,1
7.802995,-21.63351,0.552742,1
-0.21655,-9.050852,1.551746,1
-11.14457,-0.340977,1.434497,1
-6.788438,-6.726224,-0.401994,1
10.58346,-16.31427,-0.757328,1
14.77329,-14.63091,-2.944368,1
-4.474578,-4.143172,-1.12343,1
-13.54098,0.598206,-2.847459,1
-5.692525,-7.29811,-0.541974,1
2.847459,-20.58187,-1.490729,1
1.337588,-8.65125,-3.334399,1
-14.10569,0.02991,1.818545,1
-10.62413,-6.272785,0.731007,1
6.763313,-16.44946,0.664008,1
10.53081,-15.69333,0.654437,1
2.447858,-6.524031,1.099502,1
-14.56511,-5.15773,0.909273,1
-3.625126,-9.190832,-4.118048,1
10.34298,-13.9693,-2.602195,1
0.144766,-10.92204,-3.645465,1
-15.69093,-1.159323,2.054238,1
-13.53859,-3.875176,1.37348,1
2.701497,-16.07498,0.794417,1
13.84367,-15.57488,-2.306681,1
-0.285942,-5.285746,2.090131,1
-15.18485,-4.163511,0.050249,1
-1.872384,-10.12643,-6.089734,1
8.093722,-14.4371,-2.440679,1
-1.472782,-11.29173,-4.445865,1
-17.04767,-1.564906,3.052045,1
-9.056834,-5.34078,1.43689,1
7.440482,-17.39941,-0.606581,1
8.519646,-13.77428,-1.564906,1
-4.279563,-5.040481,-0.257228,1
-12.69153,-0.175872,1.447658,1
-7.855637,-8.331809,-4.817948,1
6.740582,-18.64846,-0.06341,1
-0.010768,-9.259027,-0.588634,1
-13.47518,-4.356134,0.961915,1
-8.067401,-4.593023,3.625126,1
8.215756,-19.28496,-1.369891,1
10.77009,-15.76631,1.919044,1
-0.951147,-5.659025,-0.143569,1
-13.59721,-5.862415,-0.635294,1
-5.205586,-9.616754,-2.431108,1
5.65424,-13.88555,-4.405187,1
-0.474975,-9.2351,-2.830709,1
-14.15235,-3.979264,3.944568,1
-13.98725,-4.808377,0.482154,1
6.599405,-15.17528,1.867598,1
11.58246,-15.5677,-2.666801,1
1.207179,-7.38784,0.87697,1
-10.03311,-6.285945,4.768896,1
-0.75015,-14.75654,-0.506082,1
7.081559,-14.48734,-3.632305,1
1.818545,-9.705289,0.308674,1
-14.64288,-4.542774,0.537189,1
-10.83709,-2.955136,2.757728,1
0.06341,-14.09253,1.475175,1
13.6702,-17.19363,-2.379662,1
